[2023-03-06 11:24:24.497] [CCS0] [info]  target: 344.9 V, 1 A (HYC: 144.5 A). actual: 346.0 V, 0.0 A, 0.0 W, 28%, 73092866 Wh, 1848 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:28.637] [CCS0] [info]  target: 412 V, 65.2 A (HYC: 142.9 A). actual: 350.0 V, 56.9 A, 19918.6 W, 28%, 73092868 Wh, 2237 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:32.777] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.8 A). actual: 355.0 V, 124.9 A, 44327.9 W, 28%, 73092883 Wh, 1968 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:36.917] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.8 A). actual: 355.0 V, 124.9 A, 44336.2 W, 28%, 73092931 Wh, 1952 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:41.057] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.4 A). actual: 356.0 V, 124.9 A, 44472.2 W, 28%, 73092984 Wh, 1966 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:45.197] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.4 A). actual: 356.0 V, 124.9 A, 44468.0 W, 28%, 73093037 Wh, 1948 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:49.337] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.1 A). actual: 357.0 V, 124.9 A, 44602.7 W, 28%, 73093088 Wh, 1960 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:53.477] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.1 A). actual: 357.0 V, 124.9 A, 44595.7 W, 28%, 73093142 Wh, 1942 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:24:57.617] [CCS0] [info]  target: 412 V, 125 A (HYC: 140.1 A). actual: 357.0 V, 124.9 A, 44594.3 W, 28%, 73093195 Wh, 1950 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:01.756] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.7 A). actual: 358.0 V, 125.0 A, 44737.4 W, 28%, 73093241 Wh, 1947 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:05.896] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.7 A). actual: 358.0 V, 125.0 A, 44744.4 W, 29%, 73093292 Wh, 1961 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:10.037] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.7 A). actual: 358.0 V, 124.9 A, 44720.6 W, 29%, 73093348 Wh, 1983 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:14.176] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.7 A). actual: 358.0 V, 124.9 A, 44730.4 W, 29%, 73093405 Wh, 1946 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:18.316] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.7 A). actual: 358.0 V, 124.9 A, 44723.4 W, 29%, 73093447 Wh, 1945 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:22.456] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.3 A). actual: 359.0 V, 125.0 A, 44870.8 W, 29%, 73093505 Wh, 1949 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:26.596] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.3 A). actual: 359.0 V, 125.0 A, 44862.4 W, 29%, 73093562 Wh, 1917 kOhm, 14.0 C, 16.0 C.
[2023-03-06 11:25:30.736] [CCS0] [info]  target: 412 V, 125 A (HYC: 139.3 A). actual: 359.0 V, 125.0 A, 44861.0 W, 29%, 73093600 Wh, 1952 kOhm, 14.0 C, 16.0 C.
