arrival,duration,soc,diff_soc,diff_energymeter
57540.0,3.0,0.75,0.01,1155.0
55500.0,4.0,0.71,0.01,1101.0
55920.0,2.0,0.72,0.01,838.0
55320.0,2.0,0.71,0.0,603.0
49080.0,8.0,0.85,0.05,6037.0
61200.0,42.0,0.12,0.68,35128.0
27840.0,29.0,0.56,0.19,20228.0
70500.0,24.0,0.28,0.54,21668.0
18240.0,15.0,0.44,0.16,10140.0
13920.0,60.0,0.16,0.77,62248.0
21900.0,10.0,0.52,0.18,5392.0
49500.0,10.0,0.61,0.15,4920.0
67380.0,6.0,0.41,0.08,7640.0
34380.0,49.0,0.66,0.34,30168.0
54480.0,45.0,0.23,0.66,51056.0
49740.0,36.0,0.42,0.5,36592.0
76320.0,29.0,0.3,0.53,17160.0
18840.0,9.0,0.2,0.1,8064.0
43560.0,5.0,0.2,0.08,5912.0
69000.0,47.0,0.37,0.43,33704.0
66300.0,43.0,0.28,0.52,46592.0
23160.0,36.0,0.61,0.32,30248.0
53100.0,31.0,0.22,0.46,38096.0
30480.0,18.0,0.12,0.27,21568.0
64620.0,17.0,0.25,0.24,20912.0
55080.0,11.0,0.13,0.12,11184.0
29340.0,8.0,0.4,0.14,10256.0
21540.0,8.0,0.21,0.14,8784.0
62760.0,62.0,0.18,0.72,35524.0
36360.0,59.0,0.84,0.16,11232.0
47820.0,53.0,0.4,0.56,45308.0
23220.0,35.0,0.16,0.38,27540.0
28080.0,35.0,0.41,0.43,36348.0
69720.0,31.0,0.18,0.39,25772.0
22380.0,15.0,0.19,0.2,17068.0
52800.0,8.0,0.16,0.11,9104.0
67380.0,1.0,0.24,0.01,1184.0
27660.0,58.0,0.17,0.8,56296.0
47700.0,34.0,0.39,0.4,31240.0
36960.0,34.0,0.49,0.3,24164.0
50580.0,20.0,0.78,0.22,19216.0
66300.0,10.0,0.11,0.06,6228.0
53700.0,68.0,0.5,0.48,43392.0
35160.0,45.0,0.36,0.44,20464.0
65280.0,37.0,0.36,0.44,34112.0
58500.0,26.0,0.27,0.18,10848.0
48360.0,24.0,0.55,0.18,15904.0
67920.0,20.0,0.49,0.18,18672.0
61980.0,20.0,0.33,0.16,11888.0
34020.0,17.0,0.2,0.43,34176.0
26100.0,5.0,0.05,0.06,5920.0
13740.0,56.0,0.25,0.65,52288.0
31980.0,50.0,0.37,0.55,43568.0
41160.0,42.0,0.13,0.76,68016.0
48840.0,37.0,0.23,0.63,46576.0
38640.0,35.0,0.12,0.45,36976.0
36660.0,30.0,0.22,0.53,41504.0
77340.0,26.0,0.18,0.5,40704.0
71940.0,23.0,0.37,0.23,19808.0
63960.0,18.0,0.54,0.29,26128.0
29400.0,6.0,0.76,0.04,4096.0
20220.0,56.0,0.15,0.85,61424.0
65760.0,49.0,0.03,0.86,71024.0
31860.0,43.0,0.4,0.47,37200.0
59340.0,39.0,0.34,0.56,45776.0
46440.0,34.0,0.13,0.66,49760.0
63060.0,27.0,0.02,0.59,46720.0
27180.0,21.0,0.56,0.32,11968.0
30480.0,17.0,0.28,0.26,19296.0
26640.0,2.0,0.2,0.05,4208.0
49020.0,88.0,0.28,0.71,79080.0
47820.0,59.0,0.47,0.36,17546.0
72060.0,45.0,0.16,0.64,55144.0
67380.0,42.0,0.5,0.39,37802.0
51480.0,14.0,0.11,0.17,12506.0
66000.0,564.0,0.51,0.49,122720.0
35460.0,95.0,0.66,0.34,78752.0
79560.0,283.0,0.14,0.86,210608.0
42660.0,7.0,0.86,0.04,8752.0
46260.0,870.0,0.63,0.37,116292.0
22380.0,62.0,0.66,0.33,16736.0
80400.0,34.0,0.22,0.44,27296.0
36960.0,31.0,0.06,0.47,37824.0
69540.0,31.0,0.4,0.56,48320.0
20640.0,27.0,0.21,0.43,24096.0
34920.0,27.0,0.43,0.31,25248.0
26820.0,24.0,0.73,0.16,15968.0
39480.0,24.0,0.56,0.34,11584.0
73740.0,20.0,0.12,0.4,46208.0
53640.0,17.0,0.32,0.19,26336.0
33840.0,15.0,0.1,0.15,20480.0
67620.0,15.0,0.05,0.3,19552.0
63840.0,15.0,0.52,0.18,16064.0
42480.0,13.0,0.3,0.18,9280.0
43440.0,11.0,0.11,0.14,4448.0
41880.0,8.0,0.44,0.09,7968.0
45420.0,59.0,0.34,0.66,42944.0
70320.0,47.0,0.25,0.57,24768.0
80100.0,35.0,0.22,0.52,15280.0
55200.0,29.0,0.12,0.26,22400.0
29580.0,26.0,0.69,0.15,14608.0
34260.0,24.0,0.28,0.5,40032.0
36300.0,21.0,0.6,0.22,17824.0
54900.0,2.0,0.26,0.04,1664.0
38940.0,40.0,0.4,0.5,47732.0
73560.0,37.0,0.23,0.39,31095.0
61620.0,36.0,0.11,0.69,38660.0
59340.0,28.0,0.4,0.4,32851.0
55800.0,20.0,0.44,0.26,21737.0
34200.0,84.0,0.18,0.82,64208.0
68460.0,66.0,0.47,0.52,47800.0
27360.0,52.0,0.17,0.66,51592.0
40320.0,45.0,0.16,0.62,37740.0
34500.0,43.0,0.16,0.75,56508.0
55380.0,30.0,0.48,0.33,30412.0
30600.0,25.0,0.15,0.35,29652.0
43440.0,23.0,0.43,0.26,21640.0
73020.0,67.0,0.15,0.85,79864.0
46440.0,63.0,0.17,0.83,63572.0
62400.0,41.0,0.23,0.64,33262.0
52380.0,40.0,0.28,0.72,37216.0
56460.0,37.0,0.45,0.25,18990.0
59040.0,31.0,0.23,0.58,31890.0
40920.0,29.0,0.44,0.43,40470.0
82080.0,18.0,0.05,0.33,27908.0
42600.0,14.0,0.6,0.25,8460.0
56580.0,13.0,0.16,0.18,15052.0
72480.0,34.0,0.35,0.46,42238.0
58680.0,29.0,0.1,0.72,57224.0
63480.0,26.0,0.71,0.24,21168.0
71400.0,10.0,0.35,0.24,2732.0
38220.0,65.0,0.11,0.68,22934.0
33180.0,56.0,0.49,0.51,40012.0
57420.0,55.0,0.63,0.33,22440.0
30720.0,43.0,0.94,0.06,5056.0
19500.0,36.0,0.39,0.44,38100.0
42300.0,34.0,0.03,0.75,66048.0
80220.0,27.0,0.2,0.48,40756.0
65820.0,27.0,0.4,0.35,28376.0
50340.0,27.0,0.77,0.16,7480.0
0.0,20.0,0.54,0.18,16820.0
60780.0,10.0,0.96,0.04,3460.0
45780.0,7.0,0.4,0.08,6374.0
36360.0,58.0,0.28,0.62,58280.0
47580.0,49.0,0.17,0.83,56040.0
79500.0,40.0,0.24,0.56,53256.0
72420.0,39.0,0.31,0.47,37676.0
68880.0,33.0,0.24,0.56,41664.0
61380.0,20.0,0.52,0.36,33860.0
42960.0,15.0,0.65,0.11,12052.0
28680.0,14.0,0.44,0.15,10844.0
59880.0,12.0,0.06,0.12,9496.0
68640.0,1.0,0.21,0.02,1928.0
68760.0,1.0,0.23,0.01,540.0
62760.0,51.0,0.22,0.58,24846.0
60780.0,68.0,0.4,0.6,48443.0
51960.0,33.0,0.56,0.27,9163.0
26400.0,69.0,0.2,0.8,59216.0
20280.0,62.0,0.09,0.9,71640.0
53460.0,45.0,0.21,0.73,57376.0
39240.0,31.0,0.33,0.39,32728.0
57060.0,104.0,0.49,0.51,17080.0
59760.0,71.0,0.29,0.71,28753.0
64440.0,56.0,0.2,0.61,44968.0
76260.0,47.0,0.59,0.32,14299.0
24480.0,45.0,0.19,0.65,45805.0
37140.0,35.0,0.45,0.45,41330.0
57360.0,19.0,0.62,0.11,10448.0
85320.0,45.0,0.17,0.63,51672.0
42120.0,36.0,0.2,0.64,52916.0
50400.0,26.0,0.57,0.33,11140.0
69900.0,19.0,0.14,0.38,29596.0
31020.0,18.0,0.18,0.34,19612.0
58680.0,7.0,0.05,0.14,11988.0
42840.0,36.0,0.27,0.5,45904.0
67620.0,14.0,0.54,0.27,19448.0
66600.0,11.0,0.22,0.27,16016.0
67380.0,2.0,0.49,0.05,3360.0
56160.0,81.0,0.11,0.89,36576.0
40380.0,65.0,0.07,0.77,36188.0
61920.0,49.0,0.19,0.61,37824.0
25860.0,43.0,0.09,0.7,60972.0
69420.0,40.0,0.65,0.34,42504.0
18840.0,37.0,0.25,0.45,35932.0
65040.0,20.0,0.05,0.4,15244.0
53460.0,10.0,0.37,0.12,6316.0
48360.0,2.0,0.8,0.01,232.0
35340.0,71.0,0.23,0.77,61516.0
46140.0,23.0,0.08,0.29,25492.0
53760.0,12.0,0.09,0.17,13524.0
67500.0,76.0,0.22,0.74,60250.0
53280.0,60.0,0.25,0.72,59472.0
33180.0,59.0,0.45,0.55,47654.0
43740.0,53.0,0.19,0.75,69174.0
50820.0,53.0,0.71,0.21,10408.0
23940.0,8.0,0.9,0.04,4548.0
47220.0,69.0,0.16,0.82,45636.0
20820.0,21.0,0.36,0.29,18888.0
38220.0,95.0,0.19,0.8,68824.0
30420.0,85.0,0.34,0.66,28392.0
66840.0,63.0,0.28,0.72,23344.0
44820.0,62.0,0.58,0.42,18992.0
59640.0,52.0,0.24,0.61,32432.0
63180.0,49.0,0.14,0.76,59784.0
25440.0,37.0,0.02,0.98,11584.0
56940.0,15.0,0.34,0.16,9912.0
58560.0,1.0,0.95,0.0,56.0
58680.0,0.0,0.95,0.0,56.0
64320.0,99.0,0.19,0.81,33294.0
24540.0,37.0,0.06,0.85,19234.0
46800.0,28.0,0.1,0.55,41962.0
30180.0,25.0,0.29,0.32,29773.0
43080.0,64.0,0.15,0.77,65464.0
39660.0,46.0,0.29,0.62,34728.0
60300.0,31.0,0.49,0.3,14048.0
24180.0,29.0,0.08,0.71,49320.0
58260.0,27.0,0.24,0.57,65944.0
48480.0,24.0,0.63,0.27,12608.0
52740.0,19.0,0.18,0.37,32584.0
29940.0,8.0,0.24,0.19,14408.0
57240.0,8.0,0.72,0.06,5040.0
67080.0,76.0,0.27,0.72,42848.0
41700.0,29.0,0.41,0.35,21808.0
30720.0,26.0,0.29,0.59,39728.0
44940.0,15.0,0.19,0.46,30544.0
83880.0,11.0,0.36,0.17,15904.0
28380.0,10.0,0.18,0.42,37024.0
65340.0,7.0,0.1,0.24,20688.0
29640.0,31.0,0.07,0.46,36263.0
65040.0,74.0,0.17,0.83,33265.0
67140.0,68.0,0.26,0.74,60487.0
24360.0,20.0,0.86,0.14,13878.0
66300.0,76.0,0.41,0.56,35024.0
32400.0,33.0,0.43,0.36,29352.0
46020.0,15.0,0.02,0.23,14600.0
37020.0,14.0,0.15,0.19,14248.0
42480.0,13.0,0.58,0.12,7848.0
31260.0,8.0,0.4,0.03,4256.0
76440.0,4.0,0.08,0.07,4056.0
60960.0,107.0,0.34,0.66,21120.0
31320.0,21.0,0.12,0.41,32176.0
50100.0,10.0,0.33,0.12,4184.0
25920.0,87.0,0.74,0.25,24912.0
50640.0,75.0,0.19,0.8,68132.0
25440.0,65.0,0.18,0.77,47632.0
56040.0,41.0,0.41,0.51,44384.0
66660.0,36.0,0.4,0.54,41116.0
46320.0,33.0,0.36,0.45,39256.0
62520.0,21.0,0.6,0.21,18988.0
44520.0,21.0,0.27,0.27,22536.0
58380.0,21.0,0.13,0.28,21248.0
69360.0,18.0,0.29,0.34,26924.0
70920.0,10.0,0.63,0.15,12500.0
41760.0,9.0,0.08,0.19,15088.0
65100.0,59.0,0.31,0.69,42915.0
40920.0,56.0,0.44,0.47,26000.0
67560.0,37.0,0.2,0.21,14948.0
40800.0,29.0,0.27,0.38,33825.0
51120.0,26.0,0.38,0.27,20868.0
69960.0,26.0,0.41,0.33,20056.0
31860.0,21.0,0.36,0.18,11498.0
18300.0,15.0,0.35,0.14,10767.0
57660.0,13.0,0.31,0.11,8035.0
28200.0,110.0,0.26,0.74,30988.0
57900.0,81.0,0.23,0.77,59892.0
56820.0,56.0,0.24,0.57,40984.0
50520.0,47.0,0.43,0.53,33796.0
25080.0,40.0,0.2,0.69,37244.0
64620.0,37.0,0.02,0.98,25240.0
61800.0,31.0,0.14,0.51,37936.0
45900.0,31.0,0.75,0.15,12428.0
69180.0,29.0,0.33,0.54,16968.0
15900.0,17.0,0.58,0.09,8036.0
72420.0,17.0,0.06,0.46,38052.0
52020.0,17.0,0.53,0.31,10128.0
35220.0,10.0,0.28,0.13,11268.0
71340.0,7.0,0.27,0.1,9224.0
64320.0,2.0,0.34,0.02,2108.0
29340.0,126.0,0.41,0.49,15766.0
78300.0,40.0,0.19,0.71,59032.0
60600.0,39.0,0.39,0.45,19574.0
44400.0,36.0,0.17,0.46,28212.0
43200.0,8.0,0.56,0.06,4706.0
42120.0,3.0,0.48,0.04,2686.0
44340.0,66.0,0.25,0.75,61048.0
28800.0,59.0,0.14,0.86,75504.0
44340.0,76.0,0.14,0.86,47196.0
48840.0,76.0,0.19,0.81,44544.0
49080.0,75.0,0.14,0.86,47332.0
27060.0,61.0,0.17,0.83,73524.0
21360.0,47.0,0.61,0.39,31660.0
48300.0,0.0,0.19,0.0,120.0
69600.0,66.0,0.26,0.63,37664.0
49920.0,21.0,0.76,0.09,8120.0
48480.0,18.0,0.61,0.17,12304.0
46800.0,15.0,0.62,0.11,9816.0
73380.0,9.0,0.16,0.13,11476.0
57660.0,7.0,0.24,0.16,13264.0
67440.0,50.0,0.23,0.77,25513.0
63480.0,15.0,0.54,0.22,6771.0
32460.0,10.0,0.63,0.18,5553.0
37680.0,76.0,0.06,0.93,60664.0
53940.0,50.0,0.49,0.49,41148.0
51120.0,49.0,0.49,0.48,19592.0
30240.0,47.0,0.54,0.46,46056.0
25320.0,40.0,0.29,0.51,36272.0
50880.0,34.0,0.37,0.47,41040.0
75960.0,33.0,0.02,0.42,33944.0
31320.0,27.0,0.24,0.44,36376.0
47400.0,26.0,0.25,0.55,45388.0
57180.0,21.0,0.1,0.72,60728.0
54900.0,14.0,0.83,0.07,7800.0
56160.0,55.0,0.83,0.15,12180.0
50280.0,46.0,0.15,0.63,49196.0
25860.0,20.0,0.4,0.2,12600.0
26280.0,65.0,0.45,0.54,29552.0
17640.0,48.0,0.08,0.92,45776.0
57420.0,45.0,0.07,0.93,43016.0
54960.0,37.0,0.23,0.72,35256.0
29040.0,37.0,0.36,0.64,34384.0
53280.0,33.0,0.19,0.6,31136.0
50880.0,31.0,0.26,0.45,25952.0
43020.0,20.0,0.1,0.73,11808.0
34740.0,10.0,0.59,0.08,5976.0
21960.0,2.0,0.43,0.02,1216.0
68100.0,15.0,0.05,0.17,16656.0
44580.0,55.0,0.09,0.62,37976.0
53280.0,52.0,0.3,0.54,40624.0
77520.0,52.0,0.52,0.46,39432.0
34380.0,34.0,0.38,0.42,36014.0
47700.0,29.0,0.21,0.73,21674.0
54840.0,27.0,0.1,0.57,11666.0
48360.0,15.0,0.34,0.33,17960.0
58260.0,14.0,0.4,0.18,13672.0
51120.0,8.0,0.37,0.29,7640.0
63120.0,4.0,0.27,0.11,7336.0
63480.0,2.0,0.38,0.05,3464.0
58560.0,40.0,0.19,0.4,28956.0
28440.0,39.0,0.5,0.46,44512.0
46860.0,39.0,0.21,0.59,43920.0
21900.0,39.0,0.79,0.21,24032.0
31260.0,30.0,0.09,0.63,47856.0
61740.0,20.0,0.37,0.34,13504.0
55620.0,18.0,0.16,0.22,6568.0
73020.0,15.0,0.37,0.29,14924.0
57420.0,13.0,0.12,0.17,6416.0
20700.0,11.0,0.52,0.08,8000.0
38580.0,11.0,0.5,0.12,9104.0
49500.0,9.0,0.23,0.11,10260.0
52320.0,8.0,0.42,0.15,10016.0
54000.0,7.0,0.14,0.12,7992.0
58500.0,39.0,0.29,0.5,44269.0
35400.0,1.0,0.31,0.01,965.0
37260.0,45.0,0.25,0.61,43752.0
62760.0,40.0,0.1,0.73,16560.0
51840.0,39.0,0.6,0.31,20992.0
48960.0,34.0,0.56,0.33,22752.0
33540.0,30.0,0.48,0.39,26400.0
40260.0,20.0,0.45,0.15,11712.0
73260.0,18.0,0.29,0.56,11168.0
27420.0,17.0,0.44,0.31,19792.0
46680.0,15.0,0.15,0.26,19904.0
35760.0,13.0,0.2,0.31,27424.0
41760.0,13.0,0.59,0.17,15200.0
56580.0,10.0,0.15,0.16,9760.0
39540.0,46.0,0.42,0.48,39860.0
51540.0,37.0,0.08,0.79,81048.0
22920.0,33.0,0.44,0.45,49764.0
37800.0,17.0,0.27,0.38,37224.0
54000.0,15.0,0.7,0.1,11172.0
34560.0,13.0,0.73,0.12,9376.0
60180.0,13.0,0.8,0.04,4852.0
37140.0,10.0,0.06,0.21,22236.0
37080.0,0.0,0.06,0.0,44.0
36840.0,55.0,0.31,0.57,49120.0
58560.0,50.0,0.3,0.63,19392.0
61860.0,47.0,0.35,0.53,44176.0
